2021-12-16 15:12:786 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (b5b288c20162bb6e24e774f8233c9edf)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:210 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:252 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (b5b288c20162bb6e24e774f8233c9edf)] -> css selector: .listing-search-title]
2021-12-16 15:12:923 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:519 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (344f3ef5f44b17bfbbffcafe0e430ee5)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:872 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (344f3ef5f44b17bfbbffcafe0e430ee5)] -> xpath: //select[@id='models']]
2021-12-16 15:12:150 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (344f3ef5f44b17bfbbffcafe0e430ee5)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:549 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (344f3ef5f44b17bfbbffcafe0e430ee5)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:473 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:527 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (344f3ef5f44b17bfbbffcafe0e430ee5)] -> css selector: .listing-search-title]
2021-12-16 15:12:581 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:830 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (cfdd68d1a0fc42736ed015e670e0407b)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:132 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (cfdd68d1a0fc42736ed015e670e0407b)] -> xpath: //select[@id='models']]
2021-12-16 15:12:390 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (cfdd68d1a0fc42736ed015e670e0407b)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:576 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (cfdd68d1a0fc42736ed015e670e0407b)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:284 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:326 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (cfdd68d1a0fc42736ed015e670e0407b)] -> css selector: .listing-search-title]
2021-12-16 15:12:447 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:876 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (15757c961146678be74f42add3b4eba5)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:243 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (15757c961146678be74f42add3b4eba5)] -> xpath: //select[@id='models']]
2021-12-16 15:12:594 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (15757c961146678be74f42add3b4eba5)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:807 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (15757c961146678be74f42add3b4eba5)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:600 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:673 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (15757c961146678be74f42add3b4eba5)] -> css selector: .listing-search-title]
2021-12-16 15:12:752 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:829 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (fdc477301dbca89e059d9ec8a482fe64)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:100 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (fdc477301dbca89e059d9ec8a482fe64)] -> xpath: //select[@id='models']]
